iter	Passed	Remaining
0	168	168068
1	200	100205
2	232	77287
3	287	71494
4	309	61505
5	331	54883
6	356	50517
7	382	47424
8	411	45344
9	450	44642
10	484	43535
11	518	42664
12	567	43097
13	597	42056
14	637	41851
15	681	41887
16	729	42182
17	772	42134
18	799	41261
19	825	40430
20	853	39798
21	879	39097
22	904	38418
23	932	37921
24	963	37558
25	992	37166
26	1021	36816
27	1054	36617
28	1110	37188
29	1163	37628
30	1203	37634
31	1239	37508
32	1267	37132
33	1294	36776
34	1316	36286
35	1340	35895
36	1364	35525
37	1385	35086
38	1412	34816
39	1436	34481
40	1462	34211
41	1484	33860
42	1508	33581
43	1534	33341
44	1577	33476
45	1619	33589
46	1662	33704
47	1696	33645
48	1734	33662
49	1770	33636
50	1798	33472
51	1825	33285
52	1860	33250
53	1886	33054
54	1915	32909
55	1946	32814
56	1980	32758
57	2009	32633
58	2037	32501
59	2065	32353
60	2092	32215
61	2117	32040
62	2144	31890
63	2178	31862
64	2205	31719
65	2227	31524
66	2252	31372
67	2283	31298
68	2312	31198
69	2339	31075
70	2367	30973
71	2400	30938
72	2424	30785
73	2446	30619
74	2469	30451
75	2493	30317
76	2515	30156
77	2537	29999
78	2559	29838
79	2582	29696
80	2631	29855
81	2629	29437
82	2678	29589
83	2686	29292
84	2718	29266
85	2751	29240
86	2784	29225
87	2823	29257
88	2858	29254
89	2923	29556
90	2952	29493
91	2979	29407
92	3002	29282
93	3023	29140
94	3048	29042
95	3068	28895
96	3092	28788
97	3116	28682
98	3138	28566
99	3184	28660
100	3206	28544
101	3205	28220
102	3228	28113
103	3277	28240
104	3303	28154
105	3326	28051
106	3349	27950
107	3354	27709
108	3383	27660
109	3436	27808
110	3474	27826
111	3510	27834
112	3548	27852
113	3581	27837
114	3614	27812
115	3645	27784
116	3673	27726
117	3704	27692
118	3732	27630
119	3756	27544
120	3779	27455
121	3802	27362
122	3831	27321
123	3867	27323
124	3902	27317
125	3937	27311
126	3981	27366
127	4009	27316
128	4039	27271
129	4069	27234
130	4100	27202
131	4125	27129
132	4154	27079
133	4184	27044
134	4217	27020
135	4246	26974
136	4279	26957
137	4304	26887
138	4336	26860
139	4363	26803
140	4387	26728
141	4409	26643
142	4435	26583
143	4462	26526
144	4477	26399
