Feature,Correlation,Absolute_Correlation
Online boarding,0.5035573216470076,0.5035573216470076
Inflight entertainment,0.398059421099301,0.398059421099301
Seat comfort,0.349458758136992,0.349458758136992
On-board service,0.3223825214779894,0.3223825214779894
Leg room service,0.3131308016998474,0.3131308016998474
Cleanliness,0.30519801179699657,0.30519801179699657
Flight Distance,0.29877978579988307,0.29877978579988307
Inflight wifi service,0.284245046965147,0.284245046965147
Baggage handling,0.24774936539485026,0.24774936539485026
Inflight service,0.24474073867042206,0.24474073867042206
Checkin service,0.23617374284175593,0.23617374284175593
Food and drink,0.2099362404463357,0.2099362404463357
Ease of Online booking,0.17170497848730598,0.17170497848730598
Age,0.13716730496342133,0.13716730496342133
Arrival Delay in Minutes,-0.05758182372581145,0.05758182372581145
Departure/Arrival time convenient,-0.051600617697143046,0.051600617697143046
Departure Delay in Minutes,-0.050494210261235115,0.050494210261235115
id,0.013734378440838411,0.013734378440838411
Unnamed: 0,-0.004730522413180306,0.004730522413180306
Gate location,0.0006820274562336407,0.0006820274562336407
